B38_Median,,B38_upper,,B38_lower,,I2_median,,I2_upper,,I2_lower,,B8_median,,B8_upper,,B8_lower,,B6B9_median,,B6B9_Upper,,B6B9_lower,,B3_median,,B3_upper,,B3_lower,,B4B5_median,,B4B5_upper,,B4B5_lower,,Force_median,,Force_upper,,Force_lower,,StartPoint,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0,3.434343434,0,8.282828283,0.001677852,1.01010101,0.011744966,0.202020202,0.001056857,0.299185268,0.147378054,0.21799788,0.285607755,0.931584362,0.242453117,1.413837449,0.326065229,0.770833333,0.468376052,1.276417661,0.430657933,1.072073132,0.482520346,0.459039548,0.544692737,0.169491525,0.525139665,0.254237288,0.636871508,0.084745763,0.303072626,0.336134454,0.255586592,0.672268908,0.354748603,0.504201681,-0.001670552,166.1064426,0.002214452,208.1232493,0.00027195,97.82913165,0.163597072,0.293415025
0.010067114,4.444444444,0.015100671,9.494949495,0.013422819,2.02020202,0.041946309,0.202020202,0.011171226,0.299185268,0.154795257,0.542747433,0.301790745,1.25308642,0.255938941,2.056841564,0.33752818,1.574588477,0.478479119,2.706829358,0.440761001,1.889451245,0.492623414,1.276417661,0.558659218,0.254237288,0.539106145,0.508474576,0.649441341,0.084745763,0.319832402,0.672268908,0.268156425,1.176470588,0.368715084,1.176470588,0.005128205,155.6022409,0.010955711,202.8711485,0.013869464,90.82633053,,
0.023489933,5.454545455,0.036912752,10.50505051,0.023489933,3.03030303,0.072147651,0.202020202,0.021285594,0.542747433,0.162886752,0.948684375,0.313253696,2.53909465,0.268076183,2.860596708,0.346968257,2.53909465,0.488582187,4.137241055,0.452211144,2.706829358,0.504747095,2.093795773,0.568435754,0.593220339,0.553072626,1.271186441,0.664804469,0.169491525,0.331005587,1.848739496,0.276536313,1.512605042,0.379888268,1.848739496,0.013869464,145.0980392,0.020668221,194.1176471,0.029409479,85.57422969,,
0.031879195,6.262626263,0.05033557,11.31313131,0.035234899,3.838383838,0.092281879,0.606060606,0.03544571,0.948684375,0.165583917,1.679370869,0.324042355,4.950360082,0.280213426,4.146604938,0.354385461,4.468106996,0.499358792,5.567652752,0.460967136,3.52420747,0.512156011,2.706829358,0.576815642,1.101694915,0.56424581,1.86440678,0.680167598,0.169491525,0.339385475,3.025210084,0.286312849,2.857142857,0.392458101,2.521008403,0.020668221,131.092437,0.029409479,181.8627451,0.039121989,82.07282913,,
0.045302013,6.868686869,0.063758389,11.91919192,0.048657718,4.444444444,0.112416107,1.212121212,0.042862913,1.516996093,0.16760679,2.815994305,0.333482433,6.55787037,0.28830492,5.27186214,0.363825538,4.789609053,0.508114784,6.79371992,0.46904959,4.341585583,0.526973843,3.319862942,0.583798883,1.355932203,0.574022346,2.627118644,0.689944134,0.508474576,0.344972067,4.033613445,0.294692737,4.201680672,0.402234637,3.529411765,0.029409479,124.0896359,0.037179487,171.3585434,0.053690754,73.31932773,,
0.05704698,7.474747475,0.075503356,12.72727273,0.058724832,5.252525253,0.124161074,2.424242424,0.052977282,2.085307811,0.17300112,3.627868188,0.340225345,6.718621399,0.299767871,7.040123457,0.373265615,4.950360082,0.516870776,7.202408977,0.472417279,5.77199728,0.539097524,4.137241055,0.590782123,1.694915254,0.581005587,3.220338983,0.702513966,0.93220339,0.354748603,4.87394958,0.304469274,5.546218487,0.412011173,4.369747899,0.038150738,113.5854342,0.044949495,159.1036415,0.063403263,71.56862745,,
0.060402685,8.282828283,0.083892617,12.52525253,0.073825503,5.858585859,0.13590604,3.838383838,0.059045903,2.734806917,0.180418324,4.439742071,0.34831684,7.040123457,0.307859366,8.969135802,0.379334236,6.236368313,0.52495323,7.611098033,0.476458506,7.815442561,0.547853516,4.545930111,0.599162011,1.949152542,0.587988827,3.898305085,0.708100559,1.186440678,0.36452514,5.882352941,0.311452514,6.890756303,0.420391061,4.537815126,0.048834499,104.8319328,0.054662005,152.1008403,0.077000777,66.31652661,,
0.060402685,8.282828283,0.093959732,12.92929293,0.083892617,6.464646465,0.145973154,5.252525253,0.065788815,3.384306023,0.186486945,5.170428565,0.357756917,8.165380658,0.317299443,9.772890947,0.382031401,8.00462963,0.535729835,8.019787089,0.481846808,7.815442561,0.557956583,4.341585583,0.606145251,1.949152542,0.597765363,4.830508475,0.716480447,1.271186441,0.367318436,7.226890756,0.322625698,8.571428571,0.423184358,5.378151261,0.061460761,97.82913165,0.062432012,145.0980392,0.088655789,61.06442577,,
0.070469799,8.282828283,0.10738255,13.33333333,0.097315436,7.070707071,0.157718121,6.262626263,0.073206019,4.196179906,0.193904148,5.657552895,0.364499829,9.772890947,0.324716647,10.41589506,0.390797187,9.772890947,0.547179978,8.224131617,0.489255725,7.815442561,0.568059651,4.137241055,0.611731844,2.033898305,0.606145251,5.593220339,0.727653631,1.355932203,0.37150838,8.739495798,0.329608939,9.915966387,0.431564246,6.722689076,0.071173271,97.82913165,0.069230769,132.8431373,0.097397047,61.06442577,,
0.082214765,8.686868687,0.119127517,13.93939394,0.112416107,7.272727273,0.167785235,8.282828283,0.07927464,5.170428565,0.201995643,6.063489837,0.371917033,11.21965021,0.329436685,11.54115226,0.396865808,11.38040123,0.556609508,9.04150973,0.497338178,8.632820674,0.575468567,4.545930111,0.617318436,2.372881356,0.61452514,6.016949153,0.733240223,1.186440678,0.37849162,9.74789916,0.339385475,11.42857143,0.438547486,7.226890756,0.082828283,92.57703081,0.07991453,124.0896359,0.105167055,55.81232493,,
0.095637584,9.494949495,0.130872483,13.93939394,0.129194631,7.474747475,0.179530201,8.484848485,0.084668969,6.144677225,0.210761429,6.712988943,0.374614198,13.47016461,0.333482433,13.30941358,0.401585847,12.34490741,0.563344886,10.47192143,0.508114784,9.450198786,0.582203945,4.750274639,0.624301676,2.711864407,0.622905028,6.271186441,0.740223464,1.186440678,0.382681564,9.74789916,0.347765363,12.77310924,0.444134078,6.890756303,0.092540793,82.07282913,0.08962704,115.3361345,0.114879565,50.56022409,,
0.105704698,10.1010101,0.147651007,14.14141414,0.144295302,7.474747475,0.187919463,9.090909091,0.089389008,7.037738496,0.220201506,7.362488049,0.380682819,15.55992798,0.340225345,15.88143004,0.408328759,12.34490741,0.572100878,11.6979886,0.516197238,11.08495501,0.589612861,4.341585583,0.631284916,3.13559322,0.629888268,6.694915254,0.75,1.525423729,0.386871508,10.25210084,0.357541899,14.11764706,0.446927374,5.546218487,0.102253302,76.82072829,0.097397047,104.8319328,0.127505828,48.80952381,,
0.117449664,10.90909091,0.16442953,14.34343434,0.156040268,8.484848485,0.197986577,9.696969697,0.09613192,7.849612379,0.228293001,7.768424991,0.38675144,17.81044239,0.344945383,18.13194444,0.411700215,13.47016461,0.581530407,12.10667765,0.526300305,12.31102218,0.597695315,4.954619167,0.63547486,3.559322034,0.638268156,7.033898305,0.75698324,1.694915254,0.391061453,11.09243697,0.367318436,15.12605042,0.44972067,4.705882353,0.112937063,71.56862745,0.106138306,94.32773109,0.134304584,43.55742297,,
0.130872483,11.51515152,0.179530201,13.93939394,0.166107383,9.292929293,0.206375839,10.70707071,0.10152625,8.093174544,0.235035913,8.25554932,0.399562973,19.25720165,0.349665422,19.90020576,0.415745962,15.0776749,0.587592248,13.33274482,0.533709221,13.33274482,0.605104231,5.363308223,0.643854749,3.644067797,0.650837989,7.203389831,0.766759777,1.779661017,0.395251397,11.93277311,0.374301676,16.47058824,0.453910615,4.033613445,0.123620824,61.06442577,0.110994561,87.32492997,0.145959596,33.05322129,,
0.140939597,11.91919192,0.194630872,13.53535354,0.176174497,10.50505051,0.211409396,11.31313131,0.108943454,8.093174544,0.242453117,8.986235815,0.408328759,20.22170782,0.358431208,22.47222222,0.420466001,16.68518519,0.59634824,14.15012293,0.5404446,15.17184557,0.615880837,6.385030864,0.653631285,3.813559322,0.655027933,7.711864407,0.779329609,1.949152542,0.398044693,11.93277311,0.382681564,17.31092437,0.458100559,4.537815126,0.135275835,59.31372549,0.117793318,80.32212885,0.156643357,33.05322129,,
0.151006711,11.71717172,0.211409396,13.73737374,0.187919463,9.494949495,0.218120805,11.31313131,0.116360657,8.011987156,0.247173155,9.71692231,0.415745962,20.22170782,0.365848412,24.40123457,0.425860331,18.29269547,0.604430693,14.96750105,0.547853516,16.39791274,0.623289753,7.611098033,0.662011173,4.152542373,0.666201117,8.305084746,0.790502793,1.949152542,0.405027933,12.77310924,0.38547486,18.48739496,0.460893855,5.882352941,0.147902098,52.31092437,0.125563326,76.82072829,0.166355866,33.05322129,,
0.159395973,11.71717172,0.228187919,13.33333333,0.197986577,9.090909091,0.224832215,11.51515152,0.123777861,7.849612379,0.251218903,10.60998358,0.426534622,20.54320988,0.371917033,25.84799383,0.434626117,18.29269547,0.615207299,15.58053463,0.55593597,18.2370135,0.632045745,8.837165202,0.671787709,4.661016949,0.677374302,8.728813559,0.797486034,2.203389831,0.412011173,12.77310924,0.389664804,18.99159664,0.462290503,6.722689076,0.156643357,45.30812325,0.134304584,75.07002801,0.178010878,33.05322129,,
0.169463087,11.71717172,0.248322148,12.12121212,0.208053691,8.484848485,0.231664457,12.07135657,0.130520773,8.093174544,0.25526465,11.09710791,0.433277534,21.34696502,0.38135711,26.8125,0.445414776,18.61419753,0.623289753,16.39791274,0.564018424,18.64570255,0.640801736,9.858887843,0.681564246,4.915254237,0.68575419,8.983050847,0.80726257,2.033898305,0.418994413,12.60504202,0.393854749,19.66386555,0.465083799,7.394957983,0.17024087,43.55742297,0.143045843,71.56862745,0.191608392,33.05322129,,
